Model Name,Max Sensitivity,AUC,F1-Score Pos Class,Accuracy,Sensitivity,Specificity,PPV,NPV,PLR,NLR
C3_HOG_SVC,0.25,0.52,0.24,0.68,0.24,0.8,0.24,0.8,1.2,0.95
C3_HOG_XGBOOST,0.2,0.52,0.21,0.69,0.19,0.83,0.23,0.79,1.1,0.98
C3_HOG_LR,0.24,0.51,0.23,0.67,0.23,0.79,0.23,0.79,1.09,0.98
C3_GLCM_SVC,0.24,0.5,0.23,0.68,0.23,0.8,0.24,0.79,1.15,0.96
C3_GLCM_XGBOOST,0.19,0.45,0.18,0.66,0.18,0.79,0.19,0.78,0.85,1.04
C3_GLCM_LR,0.23,0.5,0.22,0.68,0.22,0.8,0.23,0.79,1.12,0.97
LBW_HOG_SVC,0.18,0.48,0.18,0.76,0.17,0.87,0.2,0.85,1.29,0.96
LBW_HOG_XGBOOST,0.21,0.54,0.2,0.74,0.2,0.85,0.2,0.85,1.27,0.95
LBW_HOG_LR,0.2,0.51,0.19,0.74,0.18,0.85,0.19,0.85,1.23,0.96
LBW_GLCM_SVC,0.16,0.51,0.16,0.74,0.15,0.86,0.16,0.84,1.03,0.99
LBW_GLCM_XGBOOST,0.1,0.47,0.1,0.72,0.09,0.84,0.1,0.83,0.58,1.08
LBW_GLCM_LR,0.15,0.5,0.15,0.75,0.14,0.86,0.16,0.84,1,1
CIR_HOG_SVC,0,0.53,0,0.94,0,1,0,0.94,0,1
CIR_HOG_XGBOOST,0.14,0.61,0.12,0.91,0.1,0.97,0.18,0.94,3.22,0.93
CIR_HOG_LR,0.14,0.48,0.1,0.89,0.1,0.94,0.11,0.94,1.7,0.96
CIR_GLCM_SVC,0.14,0.57,0.12,0.91,0.1,0.97,0.17,0.94,2.9,0.94
CIR_GLCM_XGBOOST,0.05,0.33,0,0.9,0,0.96,0,0.93,0,1.04
CIR_GLCM_LR,0.1,0.59,0.07,0.92,0.05,0.98,0.12,0.94,2.07,0.97
PRE_HOG_SVC,0,0.54,0,0.94,0,1,0,0.94,0,1
PRE_HOG_XGBOOST,0.14,0.48,0.13,0.92,0.1,0.97,0.2,0.94,3.62,0.93
PRE_HOG_LR,0.14,0.48,0.1,0.88,0.1,0.94,0.1,0.94,1.52,0.97
PRE_GLCM_SVC,0.05,0.51,0,0.93,0,0.99,0,0.93,0,1.01
PRE_GLCM_XGBOOST,0,0.48,0,0.94,0,1,0,0.94,0,1
PRE_GLCM_LR,0.19,0.52,0.14,0.89,0.14,0.94,0.14,0.94,2.29,0.91
