Model Name,Max Sensitivity,AUC,F1-Score Pos Class,Accuracy,Sensitivity,Specificity,PPV,NPV,PLR,NLR
C3_GLCM_SVC,0.21,0.49,0.2,0.67,0.2,0.79,0.2,0.79,0.95,1.01
C3_GLCM_XGBOOST,0.19,0.46,0.18,0.67,0.18,0.8,0.19,0.78,0.88,1.03
C3_GLCM_LR,0.2,0.49,0.19,0.67,0.19,0.8,0.2,0.78,0.92,1.02
C3_HOG_SVC,0.24,0.52,0.24,0.69,0.23,0.81,0.24,0.8,1.2,0.95
C3_HOG_XGBOOST,0.25,0.54,0.24,0.68,0.24,0.8,0.24,0.8,1.19,0.95
C3_HOG_LR,0.26,0.52,0.25,0.68,0.25,0.79,0.24,0.8,1.21,0.95
LBW_HOG_SVC,0.21,0.48,0.19,0.74,0.2,0.84,0.19,0.85,1.22,0.96
LBW_HOG_XGBOOST,0.18,0.57,0.18,0.74,0.17,0.85,0.18,0.84,1.17,0.97
LBW_HOG_LR,0.18,0.51,0.17,0.73,0.17,0.84,0.17,0.84,1.08,0.99
LBW_GLCM_SVC,0.17,0.5,0.17,0.74,0.16,0.85,0.17,0.84,1.1,0.98
LBW_GLCM_XGBOOST,0.08,0.47,0.07,0.72,0.07,0.84,0.08,0.83,0.44,1.11
LBW_GLCM_LR,0.15,0.49,0.14,0.73,0.14,0.84,0.14,0.84,0.89,1.02
CIR_HOG_SVC,0,0.55,0,0.94,0,1,0,0.94,
CIR_HOG_XGBOOST,0.19,0.6,0.15,0.9,0.14,0.95,0.16,0.94,2.71,0.9
CIR_HOG_LR,0.14,0.47,0.1,0.89,0.1,0.94,0.1,0.94,1.61,0.96
CIR_GLCM_SVC,0,0.46,0,0.94,0,1,0,0.94,
CIR_GLCM_XGBOOST,0.1,0.35,0.05,0.88,0.05,0.94,0.05,0.93,0.8,1.01
CIR_GLCM_LR,0.19,0.58,0.14,0.89,0.14,0.94,0.14,0.94,2.41,0.91
PRE_HOG_SVC,0.14,0.57,0.1,0.88,0.1,0.94,0.1,0.94,1.52,0.97
PRE_HOG_XGBOOST,0.05,0.54,0,0.89,0,0.95,0,0.93,0,1.06
PRE_HOG_LR,0.1,0.47,0.05,0.89,0.05,0.95,0.06,0.94,0.9,1.01
PRE_GLCM_SVC,0.1,0.61,0.08,0.93,0.05,0.99,0.33,0.94,7.24,0.96
PRE_GLCM_XGBOOST,0,0.42,0,0.94,0,1,0,0.94,
PRE_GLCM_LR,0.19,0.55,0.15,0.9,0.14,0.95,0.17,0.94,2.9,0.9
